170,-0.48138,-0.088818,-0.090135,-0.051669,-0.23093,-0.22368,-0.11661,-0.3311,-0.42263,-0.31565,-0.081405,-0.083076,-0.14086,-0.17414,-0.20427,-0.267,-0.05117,-0.14266
180,-0.49359,-0.091302,-0.093601,-0.052807,-0.2366,-0.23629,-0.12099,-0.3426,-0.43652,-0.32779,-0.084243,-0.085987,-0.14627,-0.18392,-0.20866,-0.27263,-0.05212,-0.14523
190,-0.50641,-0.093925,-0.097337,-0.053995,-0.24256,-0.2503,-0.1257,-0.3549,-0.45129,-0.34089,-0.087284,-0.089102,-0.15207,-0.19453,-0.21323,-0.2785,-0.053106,-0.14788
200,-0.5199,-0.096699,-0.10138,-0.055238,-0.24881,-0.26593,-0.1308,-0.36808,-0.46704,-0.35504,-0.090549,-0.092444,-0.1583,-0.20598,-0.21801,-0.28462,-0.054129,-0.15064
210,-0.53411,-0.099635,-0.10576,-0.056539,-0.2554,-0.28342,-0.13632,-0.38222,-0.48384,-0.37038,-0.094064,-0.096035,-0.16502,-0.21818,-0.22301,-0.29102,-0.055191,-0.1535
220,-0.54909,-0.10275,-0.11052,-0.057903,-0.26234,-0.30307,-0.14231,-0.39743,-0.50181,-0.38706,-0.097858,-0.099905,-0.17227,-0.23092,-0.22823,-0.2977,-0.056297,-0.15647
230,-0.5649,-0.10606,-0.11572,-0.059334,-0.26966,-0.32519,-0.14885,-0.41382,-0.52105,-0.40526,-0.10196,-0.10408,-0.18009,-0.24372,-0.2337,-0.30468,-0.057446,-0.15955
240,-0.58163,-0.10957,-0.12141,-0.060837,-0.2774,-0.3501,-0.156,-0.43154,-0.54168,-0.42518,-0.10642,-0.10861,-0.18855,-0.25565,-0.23942,-0.312,-0.058643,-0.16275
250,-0.59933,-0.11332,-0.12766,-0.062417,-0.28559,-0.37802,-0.16386,-0.45072,-0.56383,-0.44706,-0.11128,-0.11352,-0.19771,-0.265,-0.24543,-0.31967,-0.059891,-0.16608
260,-0.6181,-0.11732,-0.13456,-0.064081,-0.29427,-0.40898,-0.17252,-0.47154,-0.58765,-0.47119,-0.11659,-0.11887,-0.20761,-0.26875,-0.25174,-0.32771,-0.061192,-0.16955
270,-0.63803,-0.1216,-0.14221,-0.065835,-0.30348,-0.44233,-0.18212,-0.49419,-0.61327,-0.49791,-0.12241,-0.12471,-0.21832,-0.26193,-0.25838,-0.33616,-0.06255,-0.17317
280,-0.65922,-0.12618,-0.15073,-0.067687,-0.31328,-0.47603,-0.19282,-0.51887,-0.64086,-0.52759,-0.12883,-0.1311,-0.22985,-0.23721,-0.26536,-0.34504,-0.063969,-0.17693
290,-0.68179,-0.13109,-0.16025,-0.069646,-0.32372,-0.50484,-0.20478,-0.54581,-0.67056,-0.56072,-0.13593,-0.13812,-0.24221,-0.18607,-0.27271,-0.35439,-0.065453,-0.18086
